,,,,,,,,,,,"TP, µg/l",,,"SRP, µg/l",,,"TN, mg/l",,"CLA, µg/l",,"Secchi, m","Chloride, mg/l","TSS, mg/l",,"VSS, mg/l",,

Site,Site_ID,Date,Time,Depth,Sonde Depth,"Temp, oC","DO, mg/l","DO, Sat %","SpCond, µS/cm",pH,TP Value,"TP, mg/l",TP RL,SRP Value ug/l,"SRP, mg/l",SRP RL,TN Value mg/l,TN RL,CLA Value ug/l,CLA RL,"Secchi Value, m","Chloride value, mg/l","TSS Value, mg/l",TSS RL,"VSS Value, mg/l",VSS RL,Comments

Fish-Prior & Spring Lake WD,FL_3R,9/5/2012,10:00,0,0.291,24.72,8.58,103.4,384,8.58,29.7,0.0297,,7.1,0.0071,,1.12,,10.5,,1.92,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,9/5/2012,10:00,1,1.066,24.66,8.75,105.3,384,8.62,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,9/5/2012,10:00,2,2.053,24.48,8.86,106.3,384,8.64,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,9/5/2012,10:00,3,3.043,24.37,8.49,101.7,386,8.62,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,9/5/2012,10:00,4,4.039,23.16,3.83,44.8,389,8.19,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,9/5/2012,10:00,5,5.066,20.78,0.94,10.5,418,7.7,42.6,0.0426,,6.97,0.00697,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,9/5/2012,10:00,6,6.067,16.27,0.51,5.2,512,7.38,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,9/5/2012,10:00,7,7.056,14.6,0.28,2.8,535,7.13,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,9/5/2012,10:00,8,8.068,13.74,0.25,2.4,552,6.98,703.4,0.7034,,313.11,0.31311,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,9/5/2012,10:00,8.864999771,8.865,13.19,0.23,2.2,569,6.8,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,9/18/2012,10:00,0,0.329,18.71,5.72,61.4,406,7.78,42.5,0.0425,,7.15,0.00715,,1.32,,8.6,10,2.34,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,9/18/2012,10:00,1,1.052,18.69,5.54,59.4,406,7.75,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,9/18/2012,10:00,2,2.051,18.67,5.45,58.4,406,7.76,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

